Generation;Experiment;Box;Date_P;Pop_fruit;Pop_code;Pop_name;Pop_original_name;Population;Line;Column;Treatment;Nb_eggs;Date_C_O;Obs_O
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Blackberry;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Kiwi;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Cherry;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Fig;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Strawberry;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Blackcurrant;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Tomato;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Grape;0;13/12/2018;CD
G0;Plasticity;885;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Rosehips;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;1;Grape;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;2;Fig;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;3;Cranberry;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Blackcurrant;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Tomato;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Strawberry;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Raspberry;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Cherry;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Kiwi;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Apricot;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Blackberry;0;13/12/2018;CD
G0;Plasticity;886;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Rosehips;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;1;Rosehips;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;2;Apricot;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;3;Raspberry;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Grape;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Strawberry;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Kiwi;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Cranberry;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Cherry;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Blackcurrant;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Fig;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Blackberry;0;13/12/2018;CD
G0;Plasticity;887;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Tomato;1;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;1;Cherry;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;2;Kiwi;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;3;Raspberry;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Rosehips;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Tomato;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Apricot;1;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Cranberry;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Blackberry;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Blackcurrant;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Grape;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Fig;0;13/12/2018;CD
G0;Plasticity;888;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Strawberry;0;13/12/2018;CD
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;1;Rosehips;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;2;Strawberry;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;3;Tomato;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Cranberry;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Blackberry;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Raspberry;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Grape;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Kiwi;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Blackcurrant;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Cherry;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Fig;0;12/06/2018;PA
G0;Plasticity;889;19/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Apricot;0;12/06/2018;PA
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Cherry;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Fig;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Grape;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Raspberry;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Apricot;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Kiwi;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Blackcurrant;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Tomato;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Rosehips;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Blackberry;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Strawberry;0;12/12/2018;CD
G0;Plasticity;951;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Cranberry;0;12/12/2018;CD
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Rosehips;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Grape;1;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Raspberry;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Strawberry;3;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Kiwi;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Blackcurrant;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Blackberry;2;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Cherry;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Apricot;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Fig;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Tomato;0;12/05/2018;NR
G0;Plasticity;952;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Cranberry;1;12/05/2018;NR
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Rosehips;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Cherry;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Blackberry;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Kiwi;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Strawberry;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Cranberry;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Apricot;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Tomato;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Grape;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Raspberry;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Blackcurrant;0;12/06/2018;PA
G0;Plasticity;953;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Fig;1;12/06/2018;PA
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Kiwi;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Cranberry;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Apricot;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Blackcurrant;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Grape;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Cherry;1;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Rosehips;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Fig;0;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Blackberry;1;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Strawberry;1;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Raspberry;1;12/12/2018;CD
G0;Plasticity;954;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Tomato;0;12/12/2018;CD
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Cherry;1;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Rosehips;1;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Grape;2;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Strawberry;1;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Cranberry;0;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Kiwi;0;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Blackcurrant;2;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Blackberry;1;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Tomato;1;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Apricot;0;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Raspberry;0;12/05/2018;NR
G0;Plasticity;955;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Fig;0;12/05/2018;NR
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Rosehips;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Fig;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Strawberry;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Grape;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Cherry;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Raspberry;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Blackcurrant;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Blackberry;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Kiwi;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Cranberry;1;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Apricot;0;12/04/2018;CD
G0;Plasticity;956;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Tomato;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Cherry;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Raspberry;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Strawberry;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Fig;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Blackberry;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Apricot;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Tomato;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Rosehips;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Kiwi;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Grape;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Blackcurrant;0;12/04/2018;CD
G0;Plasticity;957;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Cranberry;1;12/04/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Cranberry;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Strawberry;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Raspberry;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Cherry;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Kiwi;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Grape;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Tomato;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Rosehips;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Apricot;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Blackcurrant;1;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Fig;0;29/11/2018;CD
G0;Plasticity;958;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;4;Blackberry;0;29/11/2018;CD
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;1;Strawberry;2;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;2;Kiwi;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;3;Raspberry;2;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;1;4;Grape;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;1;Tomato;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;2;Cherry;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;3;Cranberry;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;2;4;Rosehips;2;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;1;Fig;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;2;Blackberry;0;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;3;Apricot;2;12/06/2018;PA
G0;Plasticity;959;21/09/2018;Blackberry;33;Cimetiere;Blackberry33;Blackberry33;3;4;Blackcurrant;0;12/06/2018;PA
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;1;Cherry;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;2;Tomato;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;3;Fig;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;1;4;Kiwi;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;1;Blackberry;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;2;Cranberry;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;3;Apricot;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;2;4;Grape;3;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;1;Raspberry;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;2;Strawberry;0;13/12/2018;CD
G0;Plasticity;960;24/09/2018;Blackberry;35;Beziers1;Blackberry35;Blackberry35;3;3;Blackcurrant;0;13/12/2018;CD
